geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
afg,Afghanistan,0.01889,0.02125,0.02328,0.02487,0.02631,0.02891,0.03136,0.0327,0.03266,0.03615,0.03819,0.0404,0.04326,0.04704,0.05051,0.05371,0.05719,0.06127,0.06588,0.07115,0.07537,0.07866,0.08098,0.08507,0.08827,0.0933,0.09959,0.11094,0.11449,0.1264
ago,Angola,0.14055,0.21061,0.30117,0.39915,0.56843,0.7757,1.02068,1.28622,1.52241,1.9251,2.34387,2.77538,3.27876,3.74569,4.18027,4.61898,4.86453,5.16581,5.51408,5.84771,6.22042,6.66175,7.09289,7.17346,7.14241,7.38533,8.06193,8.77962,9.08854,9.12164
alb,Albania,0.00691,0.00749,0.00849,0.00932,0.01041,0.01086,0.01096,0.00953,0.01019,0.01023,0.00992,0.01023,0.01003,0.00991,0.01023,0.01079,0.01145,0.01193,0.01148,0.01151,0.01119,0.01073,0.0104,0.01004,0.00955,0.0091,0.00845,0.00783,0.00755,0.00736
and,Andorra,0.56044,0.62767,0.69363,0.73931,0.76421,0.79927,0.81095,0.78876,0.77056,0.74919,0.73676,0.73309,0.73083,0.74654,0.73749,0.73277,0.73253,0.72493,0.70709,0.68908,0.63592,0.61059,0.5978,0.58955,0.58394,0.57687,0.52735,0.4907,0.49887,0.50661
are,UAE,0.05454,0.06413,0.07452,0.08567,0.09662,0.10919,0.123,0.13655,0.15464,0.17293,0.19539,0.22249,0.25258,0.28128,0.30416,0.34531,0.39397,0.44978,0.49983,0.51727,0.54595,0.57762,0.59827,0.61027,0.63521,0.63899,0.6426,0.63081,0.60099,0.55718
arg,Argentina,0.22205,0.26524,0.35364,0.38896,0.51768,0.62583,0.70127,0.75495,0.68391,0.62246,0.62516,0.62141,0.62789,0.63439,0.59819,0.55897,0.57757,0.57163,0.57308,0.56957,0.53359,0.51323,0.5465,0.54307,0.5448,0.53297,0.52788,0.51969,0.51965,0.50948
arm,Armenia,0.00477,0.0046,0.00424,0.00409,0.00426,0.00434,0.00433,0.00445,0.00446,0.00442,0.00443,0.00428,0.00419,0.00419,0.00905,0.01489,0.0372,0.02704,0.04501,0.04509,0.03767,0.03688,0.07228,0.05817,0.10388,0.11187,0.09847,0.07837,0.07264,0.06851
atg,Antigua and Barbuda,1.60766,1.10276,1.35806,1.55074,1.7688,1.7687,2.0798,1.69797,1.74814,2.15929,2.83718,2.69811,2.56821,2.25261,2.24242,1.94684,1.94338,1.4978,1.45271,1.44492,1.5701,1.53688,1.41207,1.34133,1.65364,1.61262,1.38885,1.32353,1.26807,1.2118
aus,Australia,0.32198,0.36852,0.40058,0.47206,0.45285,0.42048,0.38855,0.19141,0.15363,0.13537,0.12699,0.11359,0.10172,0.10223,0.11119,0.08905,0.09914,0.09035,0.06863,0.07276,0.05881,0.07194,0.05174,0.04701,0.04463,0.0417,0.04557,0.04468,0.04283,0.04136
aut,Austria,0.08486,0.11039,0.16732,0.18105,0.22358,0.20534,0.14685,0.08298,0.08752,0.07242,0.06308,0.0665,0.07041,0.06609,0.07565,0.08737,0.05781,0.07914,0.06302,0.05276,0.06005,0.05381,0.05,0.06423,0.05415,0.05457,0.0431,0.04619,0.04487,0.043
aze,Azerbaijan,0.02483,0.0287,0.03057,0.03458,0.03823,0.0453,0.05209,0.05843,0.06424,0.06996,0.07602,0.08246,0.08657,0.08869,0.09114,0.0928,0.09429,0.08367,0.06331,0.05684,0.05955,0.05036,0.04169,0.03893,0.03864,0.04024,0.04197,0.04394,0.04705,0.04958
bdi,Burundi,6.47673,8.40545,10.44246,12.14443,12.01885,13.24225,14.14534,14.62441,15.19693,15.35079,15.07676,15.01798,14.69073,14.12992,13.41927,12.40564,12.99438,11.84374,10.74243,9.68364,8.80788,7.86492,7.02889,6.39504,5.81448,5.07072,4.18151,3.32302,2.72516,2.47312
bel,Belgium,0.12789,0.15898,0.12155,0.18403,0.20198,0.23294,0.17969,0.09982,0.07696,0.0752,0.07967,0.09206,0.08992,0.08725,0.09896,0.0801,0.06735,0.06935,0.07487,0.0651,0.07924,0.07481,0.06812,0.07113,0.05427,0.05629,0.05583,0.05364,0.05142,0.04907
ben,Benin,0.07616,0.22296,0.46612,0.84558,1.35272,1.96877,2.62286,3.31196,3.94338,4.50679,4.94866,5.28603,5.55058,5.68989,5.7626,5.78037,5.7503,5.52225,4.39237,3.19507,2.90417,2.81029,2.72095,2.85074,3.01621,2.86338,2.4962,2.30337,2.27047,2.20187
bfa,Burkina Faso,7.92512,9.05855,9.86662,10.40642,10.64897,10.65098,10.08856,10.04295,9.89292,9.48249,9.00361,8.52141,8.06445,7.51984,6.88671,6.18009,5.47925,4.90931,4.37482,3.80249,3.38033,3.01493,2.7966,2.67519,2.49197,2.29652,2.09975,1.83407,1.58437,1.47235
bgd,Bangladesh,,,,,0.00002,0.00017,0.00033,0.00058,0.00096,0.00148,0.00219,0.0032,0.00457,0.00641,0.00889,0.01191,0.01534,0.01897,0.02338,0.02699,0.03099,0.03753,0.04359,0.04652,0.04732,0.04827,0.04849,0.04695,0.04506,0.04248
bgr,Bulgaria,0.02653,0.02317,0.02404,0.03055,0.04219,0.02675,0.04617,0.05988,0.07623,0.05568,0.0462,0.04801,0.05112,0.05287,0.0521,0.07559,0.07806,0.07377,0.07092,0.05179,0.05709,0.04958,0.05424,0.04649,0.04394,0.04354,0.04213,0.04073,0.03875,0.03727
bhr,Bahrain,0.18925,0.21789,0.2493,0.28353,0.31548,0.34516,0.37021,0.39443,0.41069,0.42278,0.43454,0.4479,0.36673,0.34008,0.34005,0.35603,0.36755,0.39708,0.41802,0.42111,0.41696,0.40227,0.38821,0.37225,0.35187,0.32329,0.29503,0.26507,0.23908,0.17394
bhs,Bahamas,4.4818,5.86615,7.38625,9.65611,11.09976,11.38085,12.9488,11.1913,10.56626,13.83336,13.64854,13.58046,11.80181,10.73531,10.57698,8.97275,9.52154,7.46588,6.92174,6.5142,5.8188,5.62337,5.581,5.34206,5.33418,5.06686,4.95445,4.79079,4.60168,4.28254
