geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,82.49,84.3,85.56,86.94,88.6,91,93.88,95.96,97.66,99.23,101.12,101.3,102.59,105.22,105.58,106.35,106.07,105.61,103.9,105.11,104.74,103.93,101.77,105.42,111.16,114.6,118.36,122.49,127.44,134.1,139.25,144.76,150.53,157.59,165.03,172.15,176.64,181.79,187.73,197.17,204.86,230.67,229.99,238.5
ago,Angola,41.49,42.95,44.45,45.88,47.03,48.76,50.92,52.56,54.18,57.4,58.41,59.74,61.22,63.49,65.89,65.96,62.39,63.18,70,74.24,76.42,80.36,84.35,87.07,90.73,95.38,105.93,113.69,122.41,131.9,141.23,151.44,161.29,175.5,192.06,202.31,206.32,213.09,224.37,239.89,251.57,276.18,319.44,352.29
alb,Albania,80.49,82.68,85.2,87.92,90.32,93.48,92.54,91.76,93,96.32,99,98.39,98.73,100.45,101.89,109.67,116.75,115.69,127.75,128.05,136.87,140.97,151.89,164.19,166.78,164.03,167.1,152.63,161.09,165.77,172.6,178.26,187.89,200.45,214.69,229.33,242.36,257.53,256.77,263.6,265.1,283.09,295.11,263.94
and,Andorra,1.81,1.93,2.07,2.2,2.35,2.53,2.68,2.87,3.06,3.24,3.48,3.67,3.91,4.2,4.36,4.59,4.85,5.11,5.34,5.54,5.78,6.04,6.35,6.61,6.84,6.88,7.14,7.47,7.78,8.05,8.19,7.63,7.6,7.93,8.21,8.5,8.79,9.23,9.69,10.24,10.52,11.19,12.03,12.58
are,UAE,14.9,15.79,16.52,17.23,18.09,19.21,19.41,19.68,20.04,20.54,21.69,22.11,22.38,23.3,24,24.07,24.41,25.45,27.48,28.75,30.42,31.32,30.81,30.94,33.26,35.06,35.77,37.17,38.01,38.52,37.86,37.65,37.28,37.67,38.93,40.24,41.34,43.36,45.77,50.7,52.81,56.52,63.32,72.6
arg,Argentina,1288.7,1328.05,1353.97,1449.16,1530.98,1487.17,1481.13,1565.37,1671,1709.67,1784.14,1862.94,1950.53,2013.68,2052.71,2147.06,2195.83,2279.36,2454.29,2559.49,2527.49,2644.73,2746.75,2873.68,2987.5,3047.51,3143.71,3351.63,3377.12,3479.55,3672.47,3800.62,3849.14,4022.41,4072.94,4113.47,4271.13,4230.92,4208.01,4301.49,4120.03,4473.8,4817.67,4682.09
arm,Armenia,99.05,100.21,105.68,109.04,115.15,123.13,134.01,137.64,140.22,153.67,168.63,177.33,190.35,181.93,166.53,153.93,151.78,156.62,164.78,166.09,178.29,182.39,182.94,186.7,193.92,201.17,212.1,206.19,230.41,229.6,213.28,221.54,214.98,203.69,203.22,201.77,198.08,213.78,204.02,227.58,240.24,229.17,215.25,189.69
atg,Antigua and Barbuda,1.35,1.37,1.39,1.42,1.37,1.35,1.35,1.37,1.4,1.43,1.44,1.45,1.45,1.36,1.33,1.43,1.55,1.57,1.53,1.55,1.64,1.7,1.79,1.83,1.84,1.96,1.98,2.04,2.1,2.08,2.16,2.21,2.3,2.37,2.43,2.47,2.59,2.7,2.85,2.94,2.86,2.67,2.83,3.04
aus,Australia,1041.66,1083.65,1178.25,1265.55,1318.53,1403.87,1462.99,1500.82,1636.73,1726.08,1802.9,1868.37,1930.94,2001.79,2081.91,2190.33,2247.4,2278.07,2312.56,2393.15,2529.32,2636.98,2760.8,2781.81,2838.32,2933.31,3008.53,3196.03,3322.78,3394.9,3389.14,3482.41,3550.28,3557.75,3716.97,3702.32,3705.01,3742.17,3884.37,4004.42,3949.8,4146.88,4318.73,4373.21
aut,Austria,722.41,741.96,765.81,779.86,794,786.17,772.45,807.02,823.2,809.94,842.73,885.14,889.96,899.21,912.79,929.39,947.89,980.74,991.44,1020.82,1046.8,1043.44,1094.82,1121.36,1172.75,1164.12,1210.41,1281.64,1344.24,1369.24,1411.53,1451.51,1520.68,1535.31,1621.81,1666.81,1670.26,1681.18,1744.58,1790.37,1828.97,1868.67,1957.36,1936.92
