geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,238.56,240.63,240.98,242.42,244.59,249.74,254.58,257.07,259.27,261.64,266.17,265.43,267.41,275.44,277.11,281.64,282.57,283.46,281.18,283.65,286,286.69,282.25,289.06,298.74,304.66,307.81,312.54,315.53,319.27,322.23,332.32,345.33,352.18,362.51,370.42,376.37,378.29,388.42,393.65,397.2,447.18,449.36,472.66
ago,Angola,144.8,147.99,151.25,154.51,157.77,162.84,167.97,172.33,176.78,183.5,186.81,190.44,194.03,200.1,206.13,208.2,201.58,204.58,220.69,230.42,237.9,248.78,265.57,277.13,285.38,299.03,320.6,336.3,356.98,376.47,396.2,416.9,434.83,458.27,485.63,513.34,534.35,558.07,581.3,609.06,652.09,714.24,764.15,817.98
alb,Albania,389.5,408.5,430.69,453.17,476.13,503.37,511.59,504.73,514.97,513.94,525.68,502.39,492.92,490.88,487.46,520.15,549.83,534.1,555.15,545.84,580.25,578.72,608.03,648.83,645.28,642.14,629.45,585.73,615.34,613.72,627.3,647.92,673.79,704.43,739.18,767.9,792.17,812.78,832.85,870.28,903.43,976.96,905.67,799.21
and,Andorra,10.36,11.09,11.77,12.47,13.18,14.48,15.24,16.02,17.11,17.8,19.55,20.59,21.65,23.5,23.95,25.22,25.96,26.73,27.5,28.04,28.88,29.26,30.34,31.28,31.73,30.39,31.17,32.19,33.1,33.71,32.09,27.91,26.46,26.76,27.55,27.43,28.15,29.34,30.39,31.5,33.16,34.67,36.74,37.99
are,UAE,69.69,71.7,72.89,73.95,75.89,85.23,86.22,87.73,89.51,92.68,107.9,113.89,119.81,127.58,136.8,149.95,157.65,161.7,170.5,174.44,164.04,171.04,174.61,176.55,173.14,163.95,173.31,176.01,172.56,168.43,172.73,173.89,172.89,168.12,167.59,178.82,191.97,207.68,221.59,245.17,213.56,232.26,300.32,384.66
arg,Argentina,7428.77,7586.02,7263.26,7665.39,7858.15,7756.28,7635.33,7972.36,8019.21,8019.41,8102.7,8213.92,8290.58,8395.46,8378.57,8546.61,8677.51,8788.4,8984.44,9193.83,8734.06,8666.14,8821.99,8949.94,8841.67,8800.01,8845.39,9188.99,8940.63,8878.14,8879.62,8877.73,8772.56,8780.33,8541.07,8579.4,8670.31,8374.34,8311.36,8141.65,7738.03,7896.7,8677.45,7840.92
arm,Armenia,408.57,412.76,423.19,435.59,453.15,484.74,509.58,535.09,562.84,664.29,795.29,880.71,892.9,854.16,808.87,841.65,855.68,852.42,844.11,874.02,909.46,941.68,969.76,997.64,1023.73,1052.16,1085.73,1076.81,1136.62,1147.05,1078.56,1105.17,1035.22,998.75,1021.44,1004,982.48,952.98,951.1,1001.12,975.17,973.14,959.58,861.27
atg,Antigua and Barbuda,3.31,3.38,3.47,3.53,3.59,3.73,3.92,3.88,3.95,4.01,4.2,3.98,3.95,3.66,3.83,3.86,3.82,3.73,3.78,3.86,3.88,3.89,4.02,4.17,4.07,4.21,4.33,4.55,4.56,4.62,4.49,4.48,4.65,4.65,4.61,4.83,5.04,4.9,4.87,4.59,4.65,4.26,4.39,4.4
aus,Australia,4246.16,4352.86,4440.58,4454.84,4519.48,4704.14,4651.19,4748.97,4847.98,4871.12,4881.76,4838.01,4918.74,4887.36,5022.61,5092.98,5091.93,5030.41,5100.3,5066.76,4996.22,5020.59,5096.83,5062.77,5224.42,5131.4,5183.97,5327.82,5560.17,5547.68,5283.46,5450.23,5440.93,5499.19,5668.88,5364.82,5512.66,5486.62,5541.26,5757.62,5380.34,5639.67,5898.63,5654.53
aut,Austria,2775.82,2724.9,2685.22,2707.88,2674.39,2647.61,2577.73,2541.95,2524.05,2501.09,2575.56,2565.94,2531.69,2535.31,2427.3,2510.11,2489.42,2465.68,2477.41,2424.4,2415.05,2407.38,2494.8,2521.98,2565.33,2523.22,2566.75,2537.72,2637.14,2726.65,2659.89,2680.39,2687.39,2754.75,2757.86,2717.35,2679.74,2679.5,2731.09,2650.33,2681.14,2647.48,2750.19,2723.87
aze,Azerbaijan,699.38,728.42,755.14,789.32,828.53,963.61,995.02,1011.82,1012.37,996.85,1099.67,1103.46,1092.23,1095.24,1052.99,1132.29,1068.56,1004.4,953.69,914.62,934.8,900.51,897.67,926.27,955.28,980.51,1035.64,1069.74,1124.54,1178.78,1120.46,1185.94,1238.82,1256.14,1275.07,1102.16,1138.86,1173.04,1213.32,1310.5,1438.77,1344.34,1285.71,1405.46
bdi,Burundi,54.82,55.73,56.43,57.09,57.76,58.75,58.98,59.05,58.88,58.5,58.83,59.08,59.34,59.91,58.93,58.68,59.6,59.62,59.18,59.63,61.12,62.44,63.82,65.56,68.73,73.1,77.75,83.79,90.66,96,101.96,108.38,114.56,119.74,128.01,135.73,142.63,148.88,154.45,163.57,177.25,208.37,199.59,215.43
bel,Belgium,6583.52,6616.75,6560.31,6708.18,6638.58,7042.46,6841.3,6705.56,6741.67,6553.33,6776.23,6647.07,6605.72,6549.12,6342.48,6469.14,6265.74,6216.08,6101.66,6047.88,5888.86,5906.92,5957.08,5915.05,5881.12,5759.6,5784.12,5788.11,5904.79,6025.69,5723.43,5761.1,5783.49,5780.44,5669.26,5392.04,5353.38,5172.75,5063.6,4853.29,4725.49,4775.71,4926.89,4785.76
ben,Benin,23.93,24.05,24.27,24.43,24.56,25.04,25.39,25.91,26.28,26.59,27.14,27.87,28.38,29.19,29.62,30.15,30.93,31.69,32.94,33.65,34.65,34.1,34.14,34,33.5,33.76,34.97,35.02,37.26,39.02,40.17,42.27,43.87,44.93,46.43,51.54,51.97,53.79,54.89,57.61,61.33,62.3,64.96,69.95
bfa,Burkina Faso,150.53,152.55,154.46,156.45,159.81,163.49,165.83,166.46,167.92,170.69,173.31,174.88,176.09,178.82,178.69,179.53,179.96,179.3,182.3,181.42,182.24,179.48,183.57,182.42,185.78,189.24,194.46,193.36,195.61,196.87,196.72,194.72,202.66,202.45,208.12,236.98,239.88,244.44,248.37,251.17,258.51,261.74,313.18,348.86
