geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,59822,59822,59822,59822,59822,59822,60001,60001,60001,60001,60001,60001,60001,60001,60001,60001,60180,60180,60180,60234,60342,60504,60721,60992,61265,61539,62002,62279,62558,62838,63119,63401,63685,63970,64256,64544,65028,65319,65612,65905,66200,66496,66794,67092,67393,67898,68202,68507,68814,69139,69485,69796,70127,70478,70830,71398,71755,72113,72473,72835,73199,73564,73931,74300,74671,75269,75644,76022,76401,76782,77165,77550,77937,78327,78717,79347,79743,80141,80540,80942,81346,81752,82159,82569,82981,83643,84059,84478,84899,85322,85747,86174,86604,87035,87726,88156,88580,88999,89406,89944,90617,91425,92370,93452,94813,95893,96972,98044,99115,101462,105192,110418,117261,125855,135474,145399,156049,167480,179890,187873,191411,190453,184946,174810,165727,156644,148054,139938,132266,126250,121800,118611,116810,116663,116164,115665,115166,114672,114175,114030,114234,114791,115697,117308,118587,119875,121178,122495,123824,125255,126792,124869,125413,125920,126583,126655,127253,127662,127885,128358,129179,130193,131308,132587,133967,135374,136799,138184,139597,155704,156757,157792,158626,159493,160389,161135,161478,161518,161192,160372,157262,149302,134459,121178,113968,110151,107178,103238,99702,97460,96478,93896,91784,97116,106230,113041,117417,120144,121820,122567,122731,119963,116191,116562,117491,115252,113120,111602,106190,101152,98590,95320,93295,92148,90252,88672,86617,84127,82306,80677,79117,77811,73040
ago,Angola,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,28998,29084,29256,29515,29864,30304,30750,31202,31662,32128,32600,33080,33567,34061,34562,35071,35587,36111,36642,37181,37729,38284,38847,39419,39999,40588,41185,41791,42406,43030,43663,44236,44746,45257,45704,46086,46471,46858,47249,47643,48041,48442,48847,49257,49670,50088,50509,50933,51361,51793,52228,52646,53046,53429,53793,54139,54487,54838,55190,55545,55901,56260,56621,56983,57348,57714,58083,58454,58827,59203,59581,59840,59981,60003,59905,59687,59469,59247,59021,58791,58554,58273,57949,57583,57175,56726,56271,55811,55346,54876,54401,53965,53569,53215,52903,52634,52365,52098,51831,51566,51235,51098,51158,51413,51864,52512,53168,53832,54505,55185,55873,56558,57240,57372,57488,57588,57681,57770,57851,57928,57997,58109,58260,58106,57990,57909,57643,57548,57445,57335,57042,56925,56818,59921,61503,63292,65006,66611,68105,69478,70722,71856,72872,73730,74301,74610,74778,74817,74712,74453,74054,73663,73401,73258,73589,74731,76236,78786,80917,82656,84584,86775,89188,91761,94556,97578,100926,109005,112879,116839,120610,124442,128120,131774,135252,138529,141668,144546,147169,148967,150119,150883,151187,150835,149911,148178,145572,142376,138607,134070,129187,124362,119497,114843,110262,106153,102912,100216,97997,96229,94613,93053,91357,89896,90017
alb,Albania,5396,5420,5444,5468,5493,5517,5541,5566,5591,5616,5641,5666,5691,5716,5741,5767,5792,5818,5844,5870,5896,5922,5949,5976,6002,6029,6057,6084,6111,6139,6166,6194,6222,6250,6278,6306,6335,6363,6392,6421,6449,6478,6508,6537,6566,6596,6626,6655,6685,6722,6766,6818,6878,6944,7012,7080,7148,7218,7287,7358,7430,7502,7574,7648,7722,7797,7872,7949,8026,8103,8182,8261,8340,8420,8501,8583,8665,8749,8833,8918,9003,9090,9177,9266,9355,9444,9535,9627,9719,9814,9910,10007,10107,10209,10311,10413,10516,10619,10722,10821,10918,11013,11104,11193,11281,11367,11452,11536,11619,11695,11764,11827,11885,11936,11987,12039,12091,12142,12191,12236,12279,12319,12356,12391,12425,12459,12493,12528,12562,12609,12563,12531,12510,12503,12495,12487,12479,12471,12463,12460,12461,12467,12477,12492,12506,12520,12535,12549,12564,12620,12717,12795,12782,12892,13029,13074,13040,12947,12881,12817,12646,12382,12038,11638,11205,10715,10259,9946,9726,9514,9233,8947,8705,8451,8200,8150,8000,7775,7571,6928,6366,5898,5523,5158,4831,4526,4232,3973,3743,3522,3322,3128,2939,2764,2613,2477,2310,2111,1909,1728,1557,1388,1228,1090,967,847,736,643,570,512,465,426,395,371,350,331,314,301,291,284,281,279,256
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,7,6,5,7,8,10,9,10,10,11,11,12,12,11,12,13,13,15,14,16,15,16,16,16,16,15,14,11,9,7,9,12,10,8,9,11,10,9,8,8,8,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,1
are,UAE,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,780,780,779,779,778,778,777,777,776,776,775,775,774,774,773,773,772,773,774,776,779,784,788,792,796,800,805,809,813,818,822,826,831,835,840,844,849,853,858,862,867,871,876,881,885,890,894,898,902,906,910,914,918,921,924,928,931,934,938,942,947,952,957,962,967,973,978,984,990,996,1002,1008,1014,1020,1027,1033,1039,1045,1051,1058,1064,1070,1077,1083,1089,1096,1102,1109,1115,1122,1129,1135,1142,1149,1083,1016,955,899,851,893,906,912,912,910,918,925,969,1035,1071,1086,1078,1048,1004,948,915,876,833,809,811,818,826,832,834,826,814,832,876,913,941,952,940,919,898,875,859,840,815,794,777,752,727,699,679,640,606,597,581,572,576,587,597,610,619,611,609,654,744,842,920,937,910,878,841,800,754,712,666,624,621,618,576
arg,Argentina,5254,5112,4974,4839,4708,4581,4457,4337,4220,4106,4129,4152,4223,4340,4461,4585,4712,4843,4977,5105,5224,5336,5439,5533,5629,5726,5826,5926,6029,6136,6247,6363,6484,6610,6737,6868,7001,7136,7275,7441,7638,7867,8130,8427,8735,9055,9386,9729,10085,10412,10708,10971,11198,11389,11584,11781,11982,12187,12395,12645,12941,13284,13676,14120,14578,15050,15538,16042,16563,17098,17649,18216,18800,19401,20021,20661,21321,22003,22776,23504,24256,25108,25992,26907,27854,28834,29477,30137,30908,31606,32326,33494,34823,36099,37538,38909,39326,39742,40148,40582,41050,41683,41610,41573,41537,41500,41464,41428,41391,41251,41014,40683,40227,36918,36155,36745,37708,40194,45081,44728,43137,39773,39221,40393,43419,47065,47504,52411,47315,45465,42872,43831,41978,38370,44598,50618,46186,45814,51492,44423,45236,42981,44426,41482,42921,44404,39995,43428,38225,37627,39012,39058,38289,37477,35899,37608,34602,42987,38167,35815,33840,32072,30685,29363,27870,28076,28939,29235,31635,36080,36512,21812,39205,23225,40135,39702,38595,36737,34370,31790,29240,26883,24835,23142,21805,20812,20201,19996,20061,20189,20325,20274,19871,19286,18612,17796,16857,15950,15197,14637,14121,13547,13022,12535,12108,11803,11527,11256,11000,10772,10536,10222,9855,9470,9078,8671,8133,7436,6595,5778,5037,4410,5064
arm,Armenia,4897,4890,4884,4878,4871,4865,4859,4852,4846,4840,4833,4827,4821,4814,4808,4802,4796,4789,4783,4786,4797,4817,4846,4884,4923,4961,5000,5040,5079,5119,5159,5200,5241,5282,5323,5365,5407,5450,5493,5536,5579,5623,5667,5712,5757,5802,5848,5894,5940,5987,6034,6080,6126,6173,6220,6267,6315,6363,6412,6460,6510,6559,6609,6660,6711,6762,6813,6865,6918,6970,7023,7077,7131,7185,7240,7295,7351,7407,7463,7520,7578,7636,7694,7752,7811,7871,7931,7992,8052,8114,8176,8238,8301,8364,8428,8492,8557,8622,8688,8754,8821,8794,8767,8740,8713,8687,8660,8634,8607,8581,8555,8529,8503,8477,8451,8425,8399,8374,8350,8327,8303,8279,8256,8233,8210,8187,8163,8140,8117,8095,8072,7843,7621,7405,7195,6991,6793,6600,6413,6231,6054,5883,5716,5554,5396,5243,5094,4950,4809,4695,4605,4862,4990,5128,5289,5464,5698,5949,6144,6309,6405,6359,6166,5861,5492,5124,4799,4546,4383,4251,4150,4107,3233,3233,3258,5501,5657,5707,3776,5505,5471,5527,5453,5400,5342,5190,4961,4712,7902,4210,4096,3930,3594,3131,2664,2311,2035,1815,1618,1443,1289,1160,1071,1016,979,943,858,798,789,789,767,722,712,695,675,633,578,530,482,444,407,372,296
atg,Antigua and Barbuda,583,578,573,568,564,559,555,550,546,541,537,533,528,524,520,516,512,507,503,499,495,491,487,483,479,475,472,468,464,460,457,453,449,446,442,438,435,431,428,424,421,418,414,411,408,404,401,398,395,391,388,385,382,379,375,372,369,366,363,360,356,352,347,343,338,333,329,324,320,316,312,309,306,303,301,298,296,293,291,289,287,286,285,284,283,282,282,281,280,279,277,274,271,267,264,260,256,253,249,246,242,238,234,230,226,222,219,215,211,208,204,201,198,195,192,190,187,184,181,179,177,176,174,174,173,172,171,170,169,170,171,171,173,176,178,181,183,186,189,190,191,192,191,189,188,186,185,184,182,181,180,185,183,181,180,184,182,179,175,170,163,154,143,132,120,107,94,83,72,63,55,49,44,40,36,33,31,30,28,26,25,22,21,20,19,19,19,18,18,19,19,18,18,19,19,20,22,23,22,21,22,21,20,19,17,16,16,15,15,15,13,12,11,10,9,9,8,8,7,7,7,7,7
aus,Australia,1751,1796,1843,1891,1940,1990,2042,2095,2150,2205,2264,2323,2383,2445,2509,2574,2641,2709,2780,2836,2878,2905,2917,2914,2910,2907,2903,2900,2896,2907,2934,2976,3034,3108,3183,3261,3341,3422,3506,3601,3708,3828,3961,4108,4261,4419,4583,4754,4930,5161,5451,5805,6232,6739,7288,7881,8522,9216,9966,10656,11279,10878,10394,9843,9320,8826,8357,7914,7493,7084,6686,6323,7548,7392,8440,9774,8297,9164,9711,8504,8918,9088,11253,10222,11002,11715,11899,11146,11536,13897,11084,12407,11473,13047,11626,11421,13496,12429,16102,14556,12345,13171,13859,14722,10323,10484,10805,10653,10337,9544,10197,9240,10081,10285,10319,10002,10562,8344,9044,11029,11248,10727,8713,9941,9693,9060,9295,9747,9836,9522,9044,7804,7784,7800,8565,7977,8377,7670,7702,7782,7826,8296,8257,8192,6859,6382,6586,6217,5990,5661,5784,5863,5870,5831,5724,5640,5616,5622,5612,5571,5543,5573,5524,5378,5206,5011,4906,4926,5049,5208,5319,5498,5485,5095,4634,4195,3796,3495,3255,3057,2920,2871,2856,2827,2747,2703,2663,2567,2478,2392,2327,2224,2108,2004,1893,1802,1726,1665,1614,1572,1538,1503,1483,1473,1462,1467,1472,1491,1503,1467,1412,1354,1304,1258,1202,1171,1168,1169,1183,1171,1130,1111,1068
aut,Austria,17461,16913,16383,15869,15372,14890,14423,15270,14898,14209,14448,14768,14301,14702,15983,15035,14312,14558,14725,15467,15137,15300,16462,15285,16121,16621,16534,15416,16095,15045,20476,23340,21197,22782,23862,21952,20999,22612,21563,23017,22153,22913,22500,23922,21389,23102,23618,23509,23400,23296,24214,23506,23667,22362,27063,27751,24238,24207,25492,26075,24508,27466,26190,27303,26535,28837,29886,27381,27020,26555,27964,28406,30332,32871,29735,28052,28767,30307,29873,28714,30170,30438,31435,31347,30879,32149,31806,31321,32242,30847,34150,32366,34826,31537,34455,33430,32239,32288,32052,31665,33728,30851,32205,32385,31964,35495,31381,32801,31553,33392,30350,33329,29136,30522,27535,34842,30623,29587,30634,24684,24682,24710,24767,22354,19855,18253,19062,19503,18632,17369,15724,15647,16312,14153,13863,15250,14204,14096,11959,10777,11028,10395,11196,12215,14038,29227,12908,11785,10471,9957,8698,7368,6477,5945,5582,5647,5701,5732,5637,5515,5315,5116,4948,4758,4555,4300,4067,3898,3765,3621,3411,3206,3010,2748,2486,2222,1925,1695,1557,1471,1432,1412,1375,1292,1198,1117,1040,971,915,873,843,826,800,751,687,620,568,522,482,452,435,420,410,401,391,381,368,356,348,342,334,326,315,306,300,300,304,307,305,305,306,308,246
