,id,HOST,Nest,type,STUDY,State,clutch,hatch,total_clutch,NESTFATE,inc,BOX_TYPE
2159,1,2,HM,host,NOX,MS,22,0,22,FAIL,unknown,BIG
2160,2,2,HM,host,NOX,MS,13,0,13,FAIL,unknown,BIG
2161,3,2,HM,host,NOX,MS,15,0,15,FAIL,unknown,BIG
2162,4,2,HM,host,NOX,MS,15,0,15,FAIL,unknown,BIG
2163,5,2,HM,host,NOX,MS,12,0,12,FAIL,unknown,SMALL
2164,6,2,HM,host,NOX,MS,12,0,12,FAIL,unknown,SMALL
2165,7,2,HM,host,NOX,MS,9,0,9,FAIL,unknown,SMALL
2166,8,2,HM,host,NOX,MS,20,0,20,FAIL,unknown,SMALL
2167,9,2,HM,host,YAZ,MS,13,0,13,FAIL,unknown,BIG
2168,10,2,HM,host,YAZ,MS,18,0,18,FAIL,unknown,BIG
2169,11,2,HM,host,YAZ,MS,2,0,2,FAIL,unknown,SMALL
2170,12,2,HM,host,YAZ,MS,17,0,17,FAIL,unknown,SMALL
1,13,1,MI,host,NOX,MS,14,0,16,FAIL,unknown,BIG
229,13,1,MI,parasite,NOX,MS,2,0,16,FAIL,unknown,BIG
1979,14,2,MI,host,NOX,MS,9,0,10,FAIL,unknown,BIG
2069,14,2,MI,parasite,NOX,MS,1,0,10,FAIL,unknown,BIG
1980,15,2,MI,host,NOX,MS,12,0,13,FAIL,unknown,BIG
2070,15,2,MI,parasite,NOX,MS,1,0,13,FAIL,unknown,BIG
2,16,1,MI,host,NOX,MS,19,0,21,FAIL,unknown,BIG
230,16,1,MI,parasite,NOX,MS,2,0,21,FAIL,unknown,BIG
1981,17,2,MI,host,NOX,MS,12,0,14,FAIL,unknown,BIG
2071,17,2,MI,parasite,NOX,MS,2,0,14,FAIL,unknown,BIG
3,18,1,MI,host,NOX,MS,15,0,19,FAIL,unknown,BIG
231,18,1,MI,parasite,NOX,MS,4,0,19,FAIL,unknown,BIG
4,19,1,MI,host,NOX,MS,20,0,21,FAIL,unknown,BIG
232,19,1,MI,parasite,NOX,MS,1,0,21,FAIL,unknown,BIG
5,20,1,MI,host,YAZ,MS,16,0,17,FAIL,unknown,BIG
233,20,1,MI,parasite,YAZ,MS,1,0,17,FAIL,unknown,BIG
6,21,1,MI,host,YAZ,MS,24,0,25,FAIL,unknown,BIG
234,21,1,MI,parasite,YAZ,MS,1,0,25,FAIL,unknown,BIG
7,22,1,MI,host,YAZ,MS,24,0,29,FAIL,unknown,BIG
235,22,1,MI,parasite,YAZ,MS,5,0,29,FAIL,unknown,BIG
8,23,1,MI,host,YAZ,MS,58,0,64,FAIL,unknown,BIG
236,23,1,MI,parasite,YAZ,MS,6,0,64,FAIL,unknown,BIG
9,24,1,MI,host,YAZ,MS,52,0,54,FAIL,unknown,BIG
237,24,1,MI,parasite,YAZ,MS,2,0,54,FAIL,unknown,BIG
1982,25,2,MI,host,YAZ,MS,11,0,13,FAIL,unknown,BIG
2072,25,2,MI,parasite,YAZ,MS,2,0,13,FAIL,unknown,BIG
10,26,1,MI,host,YAZ,MS,29,0,30,FAIL,unknown,BIG
238,26,1,MI,parasite,YAZ,MS,1,0,30,FAIL,unknown,BIG
1983,27,2,MI,host,YAZ,MS,16,0,18,FAIL,unknown,BIG
2073,27,2,MI,parasite,YAZ,MS,2,0,18,FAIL,unknown,BIG
11,28,1,MI,host,YAZ,MS,18,0,23,FAIL,unknown,SMALL
239,28,1,MI,parasite,YAZ,MS,5,0,23,FAIL,unknown,SMALL
12,29,1,MI,host,YAZ,MS,22,0,24,FAIL,unknown,BIG
240,29,1,MI,parasite,YAZ,MS,2,0,24,FAIL,unknown,BIG
13,30,1,MI,host,YAZ,MS,14,0,20,FAIL,unknown,BIG
241,30,1,MI,parasite,YAZ,MS,6,0,20,FAIL,unknown,BIG
14,31,1,MI,host,YAZ,MS,20,0,25,FAIL,unknown,BIG
242,31,1,MI,parasite,YAZ,MS,5,0,25,FAIL,unknown,BIG
457,32,1,WD,host,NOX,MS,19,0,19,FAIL,unknown,BIG
458,33,1,WD,host,NOX,MS,25,0,25,FAIL,unknown,BIG
459,34,1,WD,host,NOX,MS,9,0,9,FAIL,unknown,BIG
460,35,1,WD,host,NOX,MS,24,0,24,FAIL,unknown,SMALL
461,36,1,WD,host,NOX,MS,20,0,20,FAIL,unknown,SMALL
462,37,1,WD,host,NOX,MS,21,0,21,FAIL,unknown,SMALL
